Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
1,0.515409,0.53,0,-1.
2,0.525141,0.519,0,-1.
3,0.494135,0.505,0,-1.
4,0.473946,0.527,0,-1.
5,0.48559,0.525,0,-1.
6,0.516888,0.518,0,-1.
7,0.470349,0.485,0,-1.
8,0.50834,0.527,0,-1.
9,0.506379,0.511,0,-1.
10,0.497518,0.502,0,-1.
11,0.521363,0.515,0,-1.
12,0.509817,0.501,0,-1.
13,0.479542,0.495,0,-1.
14,0.509794,0.491,0,-1.
15,0.539139,0.527,0,-1.
16,0.495192,0.499,0,-1.
17,0.499438,0.499,0,-1.
18,0.50792,0.503,0,-1.
19,0.464803,0.473,0,-1.
20,0.512922,0.517,0,-1.
21,0.505456,0.509,0,-1.
22,0.500839,0.523,0,-1.
23,0.493943,0.477,0,-1.
24,0.501498,0.52,0,-1.
25,0.49829,0.486,0,-1.
26,0.488636,0.464,0,-1.
27,0.487877,0.495,0,-1.
28,0.482257,0.485,0,-1.
29,0.524361,0.524,0,-1.
30,0.483134,0.508,0,-1.
31,0.484655,0.483,0,-1.
32,0.515683,0.525,0,-1.
33,0.510678,0.507,0,-1.
34,0.515575,0.486,0,-1.
35,0.503648,0.496,0,-1.
36,0.511837,0.507,0,-1.
37,0.522343,0.492,0,-1.
38,0.504151,0.492,0,-1.
39,0.500885,0.516,0,-1.
40,0.51695,0.507,0,-1.
41,0.530456,0.497,0,-1.
42,0.534912,0.526,0,-1.
43,0.505672,0.503,0,-1.
44,0.500647,0.496,0,-1.
45,0.481782,0.482,0,-1.
46,0.503692,0.484,0,-1.
47,0.506527,0.506,0,-1.
48,0.50581,0.513,0,-1.
49,0.517246,0.526,0,-1.
50,0.490266,0.507,0,-1.
51,0.514969,0.495,0,-1.
52,0.507134,0.506,0,-1.
53,0.486582,0.467,0,-1.
54,0.500191,0.491,0,-1.
55,0.510345,0.507,0,-1.
56,0.483944,0.477,0,-1.
57,0.478993,0.501,0,-1.
58,0.504262,0.514,0,-1.
59,0.529479,0.516,0,-1.
60,0.499367,0.471,0,-1.
61,0.489581,0.497,0,-1.
62,0.496264,0.506,0,-1.
63,0.51167,0.491,0,-1.
64,0.481774,0.514,0,-1.
65,0.520394,0.496,0,-1.
66,0.51186,0.49,0,-1.
67,0.528663,0.515,0,-1.
68,0.511931,0.514,0,-1.
69,0.484187,0.52,0,-1.
70,0.499308,0.498,0,-1.
71,0.489931,0.488,0,-1.
72,0.483262,0.505,0,-1.
73,0.476752,0.5,0,-1.
74,0.509647,0.51,0,-1.
75,0.497056,0.492,0,-1.
76,0.522012,0.505,0,-1.
77,0.520633,0.5,0,-1.
78,0.507946,0.501,0,-1.
79,0.499083,0.499,0,-1.
80,0.476466,0.474,0,-1.
81,0.474544,0.489,0,-1.
82,0.510361,0.502,0,-1.
83,0.50138,0.501,0,-1.
84,0.47967,0.483,0,-1.
85,0.470538,0.468,0,-1.
86,0.476382,0.474,0,-1.
87,0.520491,0.498,0,-1.
88,0.490836,0.486,0,-1.
89,0.488603,0.515,0,-1.
90,0.482522,0.491,0,-1.
91,0.47712,0.486,0,-1.
92,0.463883,0.478,0,-1.
93,0.503494,0.491,0,-1.
94,0.473193,0.472,0,-1.
95,0.522789,0.505,0,-1.
96,0.500432,0.514,0,-1.
97,0.547506,0.523,0,-1.
98,0.493566,0.485,0,-1.
99,0.481638,0.48,0,-1.
100,0.486852,0.473,0,-1.
101,0.503311,0.479,0,-1.
102,0.499104,0.51,0,-1.
103,0.471033,0.489,0,-1.
104,0.502173,0.525,0,-1.
105,0.516392,0.499,0,-1.
106,0.498372,0.485,0,-1.
107,0.499845,0.507,0,-1.
108,0.490608,0.485,0,-1.
109,0.495576,0.499,0,-1.
110,0.498828,0.496,0,-1.
111,0.514112,0.531,0,-1.
112,0.503583,0.487,0,-1.
113,0.486102,0.485,0,-1.
114,0.519138,0.502,0,-1.
115,0.498927,0.5,0,-1.
116,0.521483,0.517,0,-1.
117,0.508811,0.511,0,-1.
118,0.503752,0.486,0,-1.
119,0.473817,0.491,0,-1.
120,0.501141,0.518,0,-1.
121,0.529707,0.506,0,-1.
122,0.503354,0.498,0,-1.
123,0.509101,0.486,0,-1.
124,0.493015,0.502,0,-1.
125,0.510952,0.488,0,-1.
126,0.505718,0.493,0,-1.
127,0.530692,0.527,0,-1.
128,0.529438,0.52,0,-1.
129,0.494386,0.484,0,-1.
130,0.522382,0.524,0,-1.
131,0.518843,0.5,0,-1.
132,0.487616,0.476,0,-1.
133,0.499603,0.49,0,-1.
134,0.503245,0.488,0,-1.
135,0.474335,0.507,0,-1.
136,0.500562,0.512,0,-1.
137,0.499259,0.512,0,-1.
138,0.490979,0.523,0,-1.
139,0.488414,0.495,0,-1.
140,0.493595,0.511,0,-1.
141,0.511281,0.514,0,-1.
142,0.501874,0.487,0,-1.
143,0.479049,0.504,0,-1.
144,0.505044,0.511,0,-1.
145,0.491768,0.491,0,-1.
146,0.505188,0.518,0,-1.
147,0.501557,0.503,0,-1.
148,0.509323,0.508,0,-1.
149,0.492256,0.485,0,-1.
150,0.465378,0.473,0,-1.
151,0.487989,0.493,0,-1.
152,0.498063,0.495,0,-1.
153,0.493109,0.511,0,-1.
154,0.475327,0.484,0,-1.
155,0.487103,0.497,0,-1.
156,0.526615,0.55,0,-1.
157,0.49602,0.505,0,-1.
