Batch,LossProbability,ServerUtilization,AvgQueued,AvgDelayQueued
1,0.515409,0.53,0,-1.#
2,0.525141,0.519,0,-1.#
3,0.494135,0.505,0,-1.#
4,0.473946,0.527,0,-1.#
5,0.48559,0.525,0,-1.#
6,0.516888,0.518,0,-1.#
7,0.470349,0.485,0,-1.#
8,0.50834,0.527,0,-1.#
9,0.506379,0.511,0,-1.#
10,0.497518,0.502,0,-1.#
11,0.521363,0.515,0,-1.#
12,0.509817,0.501,0,-1.#
13,0.479542,0.495,0,-1.#
14,0.509794,0.491,0,-1.#
15,0.539139,0.527,0,-1.#
16,0.495192,0.499,0,-1.#
17,0.499438,0.499,0,-1.#
18,0.50792,0.503,0,-1.#
19,0.464803,0.473,0,-1.#
20,0.512922,0.517,0,-1.#
21,0.505456,0.509,0,-1.#
22,0.500839,0.523,0,-1.#
23,0.493943,0.477,0,-1.#
24,0.501498,0.52,0,-1.#
25,0.49829,0.486,0,-1.#
26,0.488636,0.464,0,-1.#
27,0.487877,0.495,0,-1.#
28,0.482257,0.485,0,-1.#
29,0.524361,0.524,0,-1.#
30,0.483134,0.508,0,-1.#
31,0.484655,0.483,0,-1.#
32,0.515683,0.525,0,-1.#
33,0.510678,0.507,0,-1.#
34,0.515575,0.486,0,-1.#
35,0.503648,0.496,0,-1.#
36,0.511837,0.507,0,-1.#
37,0.522343,0.492,0,-1.#
38,0.504151,0.492,0,-1.#
39,0.500885,0.516,0,-1.#
40,0.51695,0.507,0,-1.#
41,0.530456,0.497,0,-1.#
42,0.534912,0.526,0,-1.#
43,0.505672,0.503,0,-1.#
44,0.500647,0.496,0,-1.#
45,0.481782,0.482,0,-1.#
46,0.503692,0.484,0,-1.#
47,0.506527,0.506,0,-1.#
48,0.50581,0.513,0,-1.#
49,0.517246,0.526,0,-1.#
50,0.490266,0.507,0,-1.#
51,0.514969,0.495,0,-1.#
52,0.507134,0.506,0,-1.#
53,0.486582,0.467,0,-1.#
54,0.500191,0.491,0,-1.#
55,0.510345,0.507,0,-1.#
56,0.483944,0.477,0,-1.#
57,0.478993,0.501,0,-1.#
58,0.504262,0.514,0,-1.#
59,0.529479,0.516,0,-1.#
60,0.499367,0.471,0,-1.#
61,0.489581,0.497,0,-1.#
62,0.496264,0.506,0,-1.#
63,0.51167,0.491,0,-1.#
64,0.481774,0.514,0,-1.#
65,0.520394,0.496,0,-1.#
66,0.51186,0.49,0,-1.#
67,0.528663,0.515,0,-1.#
68,0.511931,0.514,0,-1.#
69,0.484187,0.52,0,-1.#
70,0.499308,0.498,0,-1.#
71,0.489931,0.488,0,-1.#
72,0.483262,0.505,0,-1.#
73,0.476752,0.5,0,-1.#
74,0.509647,0.51,0,-1.#
75,0.497056,0.492,0,-1.#
76,0.522012,0.505,0,-1.#
77,0.520633,0.5,0,-1.#
78,0.507946,0.501,0,-1.#
79,0.499083,0.499,0,-1.#
80,0.476466,0.474,0,-1.#
81,0.474544,0.489,0,-1.#
82,0.510361,0.502,0,-1.#
83,0.50138,0.501,0,-1.#
84,0.47967,0.483,0,-1.#
85,0.470538,0.468,0,-1.#
86,0.476382,0.474,0,-1.#
87,0.520491,0.498,0,-1.#
88,0.490836,0.486,0,-1.#
89,0.488603,0.515,0,-1.#
90,0.482522,0.491,0,-1.#
91,0.47712,0.486,0,-1.#
92,0.463883,0.478,0,-1.#
93,0.503494,0.491,0,-1.#
94,0.473193,0.472,0,-1.#
95,0.522789,0.505,0,-1.#
96,0.500432,0.514,0,-1.#
97,0.547506,0.523,0,-1.#
98,0.493566,0.485,0,-1.#
99,0.481638,0.48,0,-1.#
100,0.486852,0.473,0,-1.#

Summary
ServerUtilization,0.500428
LossRatio,0.49985
AverageQueued,0
AverageDelayQueued,-1.#
