Batch,LossProbability,ServerUtilization,AvgQueued,AvgDelayQueued
1,0.445015,0.436,0,-1.#
2,0.444384,0.444,0,-1.#
3,0.431978,0.488,0,-1.#
4,0.45131,0.472,0,-1.#
5,0.450703,0.452,0,-1.#
6,0.454878,0.464,0,-1.#
7,0.452947,0.448,0,-1.#
8,0.458697,0.48,0,-1.#
9,0.483004,0.456,0,-1.#
10,0.473393,0.456,0,-1.#
11,0.45928,0.484,0,-1.#
12,0.407819,0.496,0,-1.#
13,0.43998,0.46,0,-1.#
14,0.437155,0.472,0,-1.#
15,0.470967,0.444,0,-1.#
16,0.437939,0.448,0,-1.#
17,0.379307,0.436,0,-1.#
18,0.463226,0.492,0,-1.#
19,0.427241,0.5,0,-1.#
20,0.420184,0.42,0,-1.#
21,0.405312,0.472,0,-1.#
22,0.441702,0.484,0,-1.#
23,0.442903,0.476,0,-1.#
24,0.461978,0.468,0,-1.#
25,0.476493,0.464,0,-1.#
26,0.488589,0.476,0,-1.#
27,0.354079,0.408,0,-1.#
28,0.432306,0.42,0,-1.#
29,0.446567,0.428,0,-1.#
30,0.421286,0.432,0,-1.#
31,0.467928,0.436,0,-1.#
32,0.484397,0.488,0,-1.#
33,0.431125,0.408,0,-1.#
34,0.486745,0.512,0,-1.#
35,0.470653,0.46,0,-1.#
36,0.466661,0.428,0,-1.#
37,0.408707,0.408,0,-1.#
38,0.426807,0.46,0,-1.#
39,0.465038,0.444,0,-1.#
40,0.447604,0.48,0,-1.#
41,0.423278,0.456,0,-1.#
42,0.43636,0.42,0,-1.#
43,0.446784,0.42,0,-1.#
44,0.464989,0.428,0,-1.#
45,0.467553,0.508,0,-1.#
46,0.486231,0.488,0,-1.#
47,0.478719,0.464,0,-1.#
48,0.406587,0.424,0,-1.#
49,0.450354,0.472,0,-1.#
50,0.430239,0.476,0,-1.#
51,0.451658,0.468,0,-1.#
52,0.456763,0.432,0,-1.#
53,0.427006,0.432,0,-1.#
54,0.412971,0.4,0,-1.#
55,0.460895,0.436,0,-1.#
56,0.493438,0.46,0,-1.#
57,0.435358,0.468,0,-1.#
58,0.478456,0.472,0,-1.#
59,0.540324,0.536,0,-1.#
60,0.459669,0.476,0,-1.#
61,0.425349,0.456,0,-1.#
62,0.439163,0.408,0,-1.#
63,0.441351,0.408,0,-1.#
64,0.476383,0.448,0,-1.#
65,0.484551,0.484,0,-1.#
66,0.508093,0.512,0,-1.#
67,0.445856,0.376,0,-1.#
68,0.417099,0.432,0,-1.#
69,0.503387,0.472,0,-1.#
70,0.425657,0.46,0,-1.#
71,0.445015,0.46,0,-1.#
72,0.429193,0.42,0,-1.#
73,0.427826,0.444,0,-1.#
74,0.435567,0.464,0,-1.#
75,0.446032,0.456,0,-1.#
76,0.452649,0.424,0,-1.#
77,0.436676,0.44,0,-1.#
78,0.45587,0.452,0,-1.#
79,0.448463,0.464,0,-1.#
80,0.414065,0.452,0,-1.#
81,0.470262,0.484,0,-1.#
82,0.47092,0.456,0,-1.#
83,0.41292,0.432,0,-1.#
84,0.473774,0.452,0,-1.#
85,0.42815,0.524,0,-1.#
86,0.467064,0.476,0,-1.#
87,0.424046,0.436,0,-1.#
88,0.503732,0.476,0,-1.#
89,0.421099,0.408,0,-1.#
90,0.446138,0.392,0,-1.#
91,0.412574,0.452,0,-1.#
92,0.45861,0.404,0,-1.#
93,0.458659,0.512,0,-1.#
94,0.462168,0.504,0,-1.#
95,0.422354,0.46,0,-1.#
96,0.447784,0.412,0,-1.#
97,0.448491,0.444,0,-1.#
98,0.432025,0.404,0,-1.#
99,0.471843,0.428,0,-1.#
100,0.436737,0.44,0,-1.#

Summary
ServerUtilization,0.448515
LossRatio,0.45364
AverageQueued,0
AverageDelayQueued,-1.#
