Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
1,0.403407,0.396,0,-1.
2,0.383012,0.374,0,-1.
3,0.378773,0.385,0,-1.
4,0.355739,0.382,0,-1.
5,0.37407,0.403,0,-1.
6,0.368512,0.383,0,-1.
7,0.382632,0.387,0,-1.
8,0.393124,0.39,0,-1.
9,0.35847,0.376,0,-1.
10,0.398751,0.378,0,-1.
11,0.384269,0.38,0,-1.
12,0.36,0.375,0,-1.
13,0.408553,0.396,0,-1.
14,0.389685,0.385,0,-1.
15,0.385667,0.378,0,-1.
16,0.368203,0.371,0,-1.
17,0.350545,0.363,0,-1.
18,0.390481,0.378,0,-1.
19,0.374338,0.377,0,-1.
20,0.372617,0.394,0,-1.
21,0.380168,0.365,0,-1.
22,0.382519,0.399,0,-1.
23,0.377997,0.356,0,-1.
24,0.370018,0.364,0,-1.
25,0.36261,0.367,0,-1.
26,0.3651,0.373,0,-1.
27,0.363337,0.373,0,-1.
28,0.373225,0.384,0,-1.
29,0.365466,0.373,0,-1.
30,0.395953,0.397,0,-1.
31,0.392813,0.357,0,-1.
32,0.374641,0.374,0,-1.
33,0.376772,0.344,0,-1.
34,0.366579,0.378,0,-1.
35,0.392054,0.383,0,-1.
36,0.384822,0.386,0,-1.
37,0.407757,0.394,0,-1.
38,0.386628,0.365,0,-1.
39,0.392248,0.405,0,-1.
40,0.376141,0.376,0,-1.
41,0.359602,0.372,0,-1.
42,0.355757,0.358,0,-1.
43,0.392687,0.377,0,-1.
44,0.370787,0.371,0,-1.
45,0.364601,0.367,0,-1.
46,0.36027,0.37,0,-1.
47,0.362538,0.347,0,-1.
48,0.379355,0.391,0,-1.
49,0.375258,0.354,0,-1.
50,0.370282,0.371,0,-1.
51,0.393312,0.397,0,-1.
52,0.358543,0.357,0,-1.
53,0.359547,0.365,0,-1.
54,0.375972,0.384,0,-1.
55,0.362982,0.345,0,-1.
56,0.383088,0.38,0,-1.
57,0.359599,0.387,0,-1.
58,0.379689,0.365,0,-1.
59,0.359765,0.387,0,-1.
60,0.391528,0.364,0,-1.
61,0.367118,0.373,0,-1.
62,0.388176,0.39,0,-1.
63,0.375501,0.35,0,-1.
64,0.375131,0.384,0,-1.
65,0.382876,0.366,0,-1.
66,0.39116,0.389,0,-1.
67,0.392491,0.365,0,-1.
68,0.376213,0.378,0,-1.
69,0.368288,0.36,0,-1.
70,0.382621,0.359,0,-1.
71,0.362886,0.36,0,-1.
72,0.368855,0.377,0,-1.
73,0.364514,0.363,0,-1.
74,0.390123,0.388,0,-1.
75,0.380656,0.356,0,-1.
76,0.366712,0.347,0,-1.
77,0.384329,0.393,0,-1.
78,0.355865,0.35,0,-1.
79,0.360818,0.365,0,-1.
80,0.380165,0.351,0,-1.
81,0.371829,0.355,0,-1.
82,0.384213,0.382,0,-1.
83,0.383698,0.372,0,-1.
84,0.359447,0.372,0,-1.
85,0.368753,0.376,0,-1.
86,0.363623,0.352,0,-1.
87,0.360424,0.395,0,-1.
88,0.385035,0.378,0,-1.
89,0.391608,0.376,0,-1.
90,0.392286,0.367,0,-1.
91,0.376321,0.387,0,-1.
92,0.354974,0.38,0,-1.
93,0.390496,0.367,0,-1.
94,0.362011,0.344,0,-1.
95,0.394422,0.38,0,-1.
96,0.384707,0.373,0,-1.
97,0.38747,0.374,0,-1.
98,0.371464,0.374,0,-1.
99,0.394315,0.394,0,-1.
100,0.369733,0.371,0,-1.

Summary Measures (across all batches)
Server Utilization,0.376442	+/- 0.00258123	(0.68569 %)
Loss/Blocking Probability,0.37406	+/- 0.00278538	(0.744634 %)
Average Number in Queue),0	+/- 0	(-1.#IND %)
Average Delay of Queued Arrivals,-1.#IND	+/- -1.#IND	(-1.#IND %)
